SD-JWT,CSD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
828,533,1024,960,393,625,1848,4960
1048,709,1345,981,555,665,1879,6409
1216,885,1700,1027,716,705,1937,7857
1397,1061,2081,1059,877,745,2007,9311
1576,1237,2413,1105,1039,785,2045,10757
1769,1413,2745,1124,1200,825,2076,12203
1964,1589,3109,1188,1361,865,2120,13649
2120,1765,3467,1235,1523,905,2167,15096
2313,1941,3805,1253,1684,945,2199,16548
2495,2120,4139,1304,1848,988,2237,18007
2687,2300,4499,1348,2012,1031,2273,19452
2867,2480,4845,1388,2176,1073,2316,20903
3068,2659,5219,1435,2340,1116,2369,22351
3251,2839,5583,1480,2504,1159,2403,23808
3440,3019,5875,1537,2668,1201,2457,25256
3631,3197,6303,1543,2832,1244,2476,26696
3796,3377,6609,1599,2996,1287,2547,28165
3993,3557,6947,1649,3160,1329,2577,29616
4184,3736,7348,1701,3324,1372,2593,31063
4359,3916,7648,1733,3488,1415,2692,32529
4555,4096,8048,1787,3652,1457,2721,33976
4744,4275,8416,1809,3816,1500,2765,35419
4941,4455,8756,1851,3980,1543,2791,36871
5107,4635,9068,1889,4144,1585,2835,38328
5303,4813,9401,1959,4308,1628,2876,39767
5475,4993,9720,2001,4472,1671,2924,41237
5684,5173,10145,2047,4636,1713,2967,42676
5844,5352,10516,2081,4800,1756,2989,44119
6052,5532,10851,2119,4964,1799,3039,45591
6239,5712,11236,2164,5128,1841,3101,47045
6417,5891,11587,2211,5292,1884,3129,48483
6620,6071,11895,2227,5456,1927,3172,49936
6784,6251,12239,2287,5620,1969,3201,51399
6969,6429,12631,2320,5784,2012,3252,52840
7159,6609,13027,2373,5948,2055,3299,54277
7353,6789,13307,2424,6112,2097,3363,55735
7545,6968,13613,2457,6276,2140,3380,57211
7715,7148,14001,2505,6440,2183,3433,58644
7915,7328,14420,2556,6604,2225,3476,60095
8089,7507,14685,2567,6768,2268,3524,61556
8284,7687,15053,2644,6932,2311,3545,62997
8473,7867,15409,2673,7096,2353,3624,64444
8648,8045,15759,2709,7260,2396,3649,65888
8847,8225,16220,2748,7424,2439,3673,67372
9039,8405,16517,2796,7588,2481,3716,68799
9239,8584,16899,2831,7752,2524,3768,70241
9401,8764,17196,2901,7916,2567,3791,71717
9579,8944,17644,2948,8080,2609,3875,73156
9777,9123,17787,2980,8244,2652,3901,74625
9976,9303,18301,3004,8408,2695,3956,76072
10143,9483,18565,3057,8572,2737,3992,77495
10340,9661,18992,3095,8736,2780,4007,78973
10519,9841,19260,3145,8900,2823,4088,80421
10713,10021,19723,3185,9064,2865,4109,81857
10893,10200,19972,3225,9228,2908,4173,83328
11075,10380,20400,3257,9392,2951,4215,84784
11272,10560,20659,3324,9556,2993,4247,86245
11459,10739,21079,3347,9720,3036,4275,87681
11644,10919,21380,3404,9884,3079,4327,89127
11839,11099,21757,3440,10048,3121,4391,90603
12013,11277,22173,3493,10212,3164,4401,92053
12201,11457,22496,3531,10376,3207,4424,93487
12393,11637,22845,3561,10540,3249,4499,94921
12588,11816,23259,3609,10704,3292,4527,96357
12760,11996,23537,3651,10868,3335,4612,97852
12964,12176,23888,3708,11032,3377,4633,99293
13133,12355,24193,3743,11196,3420,4657,100703
13319,12535,24579,3777,11360,3463,4711,102209
13523,12715,24977,3819,11524,3505,4735,103660
13693,12893,25316,3863,11688,3548,4799,105093
13876,13073,25585,3915,11852,3591,4835,106560
14084,13253,26113,3953,12016,3633,4908,108017
14257,13432,26293,3996,12180,3676,4924,109424
14449,13612,26759,4033,12344,3719,4989,110897
14611,13792,27060,4073,12508,3761,4984,112348
14825,13971,27348,4119,12672,3804,5048,113787
15000,14151,27812,4163,12836,3847,5108,115237
15189,14331,28096,4201,13000,3889,5135,116711
15373,14509,28536,4235,13164,3932,5187,118131
15555,14689,28893,4293,13328,3975,5223,119563
15744,14869,29203,4316,13492,4017,5284,121076
15929,15048,29529,4368,13656,4060,5297,122489
16124,15228,29805,4416,13820,4103,5341,123955
16309,15408,30251,4459,13984,4145,5396,125408
16497,15587,30621,4492,14148,4188,5433,126885
16692,15767,30957,4539,14312,4231,5484,128325
16875,15947,31317,4585,14476,4273,5539,129775
17049,16125,31712,4623,14640,4316,5543,131207
17245,16305,32080,4684,14804,4359,5593,132707
17443,16485,32305,4716,14968,4401,5631,134128
17628,16664,32624,4755,15132,4444,5713,135589
17811,16844,33093,4807,15296,4487,5716,137013
17993,17024,33352,4844,15460,4529,5799,138475
18173,17203,33831,4879,15624,4572,5820,139953
18371,17383,34044,4935,15788,4615,5849,141365
18537,17563,34548,4965,15952,4657,5868,142805
18745,17741,34729,5009,16116,4700,5956,144285
18932,17921,35171,5057,16280,4743,5977,145767
19103,18101,35500,5112,16444,4785,6013,147212
19301,18284,35877,5140,16611,4831,6057,148583
